strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
breakout,ASYS,2026-04-09,13.23,12.68,0.549999,2026-04-28,17.038,ma10_break,906,11986.38,3450.05,0.287831,6.923646,-0.254545,11.83638,19,91.0,"buy_stop=pivot_high_1_1:13.0000; entry=max(open,pivot)"
breakout,AMPX,2026-04-13,18.18,16.25,1.93,2026-04-28,20.333,ma10_break,673,12235.14,1448.97,0.118427,1.115544,-0.699482,2.393781,15,96.0,"buy_stop=pivot_high_1_1:18.1800; entry=max(open,pivot)"
breakout,AOSL,2026-04-15,30.09,27.51,2.58,2026-04-28,38.224,ma10_break,403,12126.27,3278.0,0.270322,3.152713,-0.364341,6.155039,13,91.0,"buy_stop=pivot_high_1_1:23.4600; entry=max(open,pivot)"
breakout,ACLS,2026-04-15,113.080002,111.830002,1.25,2026-04-28,131.398002,ma10_break,107,12099.56,1960.03,0.161992,14.6544,0.0,27.888,13,91.0,"buy_stop=pivot_high_1_1:112.8200; entry=max(open,pivot)"
breakout,ACRS,2026-04-17,4.1,3.85,0.25,2026-04-28,4.245,ma10_break,3039,12459.9,440.66,0.035366,0.58,-0.299999,1.84,11,93.0,"buy_stop=pivot_high_1_1:4.0400; entry=max(open,pivot)"
breakout,AGX,2026-04-21,619.496249,567.278726,52.217523,2026-04-28,628.331592,ma10_break,20,12389.92,176.71,0.014262,0.169203,-0.240145,1.218437,7,94.0,"buy_stop=pivot_high_1_1:619.4962; entry=max(open,pivot)"
breakout,AIFF,2026-04-21,1.9,1.73,0.17,2026-04-28,1.985,ma10_break,6584,12509.6,559.64,0.044737,0.5,-0.294117,3.058825,7,93.0,"buy_stop=pivot_high_1_1:1.6000; entry=max(open,pivot)"
breakout,ALAB,2026-04-21,188.75,168.199997,20.550003,2026-04-28,186.910999,ma10_break,66,12457.5,-121.37,-0.009743,-0.089489,-0.448175,1.240243,7,91.0,"buy_stop=pivot_high_1_1:175.6000; entry=max(open,pivot)"
breakout,APLD,2026-04-23,34.799999,31.309999,3.49,2026-04-28,31.309999,stop_loss,359,12493.2,-1252.91,-0.100287,-1.0,-1.229226,1.071634,5,92.0,"buy_stop=pivot_high_1_1:34.1600; entry=max(open,pivot)"
breakout,ASX,2026-04-08,24.0,21.549999,2.450001,2026-04-29,29.835,ma10_break,504,12096.0,2940.84,0.243125,2.381632,-0.208163,3.391836,21,92.0,"buy_stop=pivot_high_1_1:22.6400; entry=max(open,pivot)"
breakout,ALOT,2026-04-16,12.1,11.59,0.51,2026-04-29,13.695,ma10_break,1020,12342.0,1626.9,0.131818,3.127449,0.0,4.235292,13,90.0,"buy_stop=pivot_high_1_1:11.2900; entry=max(open,pivot)"
breakout,ADV,2026-04-20,30.17,27.790001,2.379999,2026-04-29,32.726,ma10_break,416,12550.72,1063.3,0.08472,1.07395,-0.037815,2.659665,9,92.0,"buy_stop=pivot_high_1_1:30.0000; entry=max(open,pivot)"
breakout,ALTO,2026-04-21,5.11,4.88,0.23,2026-04-29,5.158,ma10_break,2451,12524.61,117.65,0.009393,0.208695,-0.956523,2.043477,8,97.0,"buy_stop=pivot_high_1_1:5.1100; entry=max(open,pivot)"
breakout,AGPU,2026-04-22,10.85,4.21,6.64,2026-04-29,5.735,ma10_break,1169,12683.65,-5979.44,-0.471429,-0.770331,-0.804217,0.001506,7,99.0,"buy_stop=pivot_high_1_1:5.2850; entry=max(open,pivot)"
